                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                  1.001,                0.65832,                  1.032,                0.78085,                0.49848,                0.53986,                0.30549,                 1.3522,                0.77635,                 1.2901,              0.0001783,              0.0001783,              0.0001783
                     85,                0.99484,                0.64321,                  1.017,                 0.6101,                0.50357,                0.54284,                0.30711,                  1.359,                0.78609,                 1.2965,              0.0001684,              0.0001684,              0.0001684
                     86,                0.99387,                0.65903,                 1.0227,                 0.5853,                 0.5443,                0.54214,                0.30564,                 1.3651,                0.78997,                 1.3003,              0.0001585,              0.0001585,              0.0001585
                     87,                0.97937,                0.64037,                 1.0172,                0.73614,                0.53026,                0.53114,                0.29894,                 1.3596,                0.78999,                  1.298,              0.0001486,              0.0001486,              0.0001486
                     88,                0.97522,                0.66423,                 1.0279,                0.58314,                0.53258,                0.53163,                 0.3013,                 1.3345,                0.76687,                 1.2844,              0.0001387,              0.0001387,              0.0001387
                     89,                0.96762,                0.62827,                 1.0094,                 0.5504,                 0.5219,                0.54658,                0.30844,                 1.3397,                0.77371,                 1.2864,              0.0001288,              0.0001288,              0.0001288
                     90,                0.97028,                0.63088,                 1.0144,                0.58376,                0.52854,                0.54756,                0.31056,                 1.3471,                0.77638,                 1.2874,              0.0001189,              0.0001189,              0.0001189
                     91,                0.92733,                0.58096,                0.99991,                0.63782,                0.49239,                0.53727,                0.30253,                  1.375,                0.79458,                 1.2948,               0.000109,               0.000109,               0.000109
                     92,                0.88457,                0.54032,                0.99026,                0.57823,                0.50195,                0.53817,                0.30227,                 1.3822,                0.76858,                 1.3208,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.88764,                0.54755,                0.98694,                0.59116,                0.51862,                0.54086,                0.29772,                 1.3706,                0.76208,                 1.3322,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.87564,                0.53458,                0.97927,                0.56909,                0.55717,                0.54548,                0.29794,                 1.3621,                0.76451,                 1.3254,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.88521,                 0.5325,                0.98232,                0.57554,                0.51859,                0.54146,                 0.2975,                 1.4022,                0.76361,                 1.3277,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.88737,                0.52649,                0.98776,                0.56184,                0.51352,                0.53444,                0.30153,                 1.3713,                0.76223,                 1.3248,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.88951,                0.57427,                0.99391,                0.55602,                0.52303,                0.53414,                0.30096,                 1.3642,                0.75698,                 1.3267,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.84987,                0.51479,                0.97232,                0.57233,                0.52139,                0.54169,                0.30813,                 1.3751,                0.76439,                 1.3227,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 0.8618,                0.52511,                0.97554,                0.57627,                 0.5197,                0.53901,                0.30501,                 1.3729,                0.76394,                 1.3269,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.85388,                0.54634,                0.98416,                0.59469,                0.51455,                0.53726,                0.30259,                 1.3732,                0.76063,                 1.3241,               1.99e-05,               1.99e-05,               1.99e-05
